Season;Week;Date;League;Players per Team;Location;Round Number;Match Number;Team;Position;Player;Player ID;Opponent;Score;Points;Input Data;Computed Data
18/19;1;n/a;BayL;4;Nürnberg;0;0;Nürnberg 17;0;Sebastian Jackson;76146;Schweinfurt 92;230;1.0;True;False
18/19;1;n/a;BayL;4;Nürnberg;0;0;Nürnberg 17;1;Ivan Dietrich;45205;Schweinfurt 92;230;1.0;True;False
18/19;1;n/a;BayL;4;Nürnberg;0;0;Nürnberg 17;2;Matthias Schmidt;14455;Schweinfurt 92;216;1.0;True;False
18/19;1;n/a;BayL;4;Nürnberg;0;0;Nürnberg 17;3;Peter Brown;98742;Schweinfurt 92;196;1.0;True;False
18/19;1;n/a;BayL;4;Nürnberg;0;0;Schweinfurt 92;0;Johannes Martinez;57687;Nürnberg 17;195;0.0;True;False
18/19;1;n/a;BayL;4;Nürnberg;0;0;Schweinfurt 92;1;Michael Müller;16271;Nürnberg 17;193;0.0;True;False
18/19;1;n/a;BayL;4;Nürnberg;0;0;Schweinfurt 92;2;Fabian Meier;28491;Nürnberg 17;189;0.0;True;False
18/19;1;n/a;BayL;4;Nürnberg;0;0;Schweinfurt 92;3;Benjamin Meier;67469;Nürnberg 17;188;0.0;True;False
18/19;1;n/a;BayL;4;Nürnberg;0;1;München 8;0;Theo Köhler;87141;Nürnberg 21;182;0.0;True;False
18/19;1;n/a;BayL;4;Nürnberg;0;1;München 8;1;Linus Neumann;26722;Nürnberg 21;197;0.0;True;False
18/19;1;n/a;BayL;4;Nürnberg;0;1;München 8;2;Linus Böhm;51166;Nürnberg 21;204;0.0;True;False
18/19;1;n/a;BayL;4;Nürnberg;0;1;München 8;3;Hiroshi Ali;60257;Nürnberg 21;184;0.0;True;False
18/19;1;n/a;BayL;4;Nürnberg;0;1;Nürnberg 21;0;Andreas Schäfer;40083;München 8;205;1.0;True;False
18/19;1;n/a;BayL;4;Nürnberg;0;1;Nürnberg 21;1;Daniel Müller;45217;München 8;231;1.0;True;False
