Season;Week;Datum;League Name;Spielort;Team Name;Name;EDV;Match Number;Team Name Opponent;Position;Pins
22/23;0;n/a;LL1 Nord;Hof;Bamberg 44;James Jackson;95548;0;Schweinfurt 45;0;181
22/23;0;n/a;LL1 Nord;Hof;Bamberg 44;Marco Jäger;96933;0;Schweinfurt 45;1;239
22/23;0;n/a;LL1 Nord;Hof;Bamberg 44;Jan Krüger;92706;0;Schweinfurt 45;2;207
22/23;0;n/a;LL1 Nord;Hof;Bamberg 44;Omar Anderson;45562;0;Schweinfurt 45;3;242
22/23;0;n/a;LL1 Nord;Hof;Bamberg 44;James Jackson;95548;1;Passau 64;0;143
22/23;0;n/a;LL1 Nord;Hof;Bamberg 44;Marco Jäger;96933;1;Passau 64;1;202
22/23;0;n/a;LL1 Nord;Hof;Bamberg 44;Jan Krüger;92706;1;Passau 64;2;234
22/23;0;n/a;LL1 Nord;Hof;Bamberg 44;Omar Anderson;45562;1;Passau 64;3;228
22/23;0;n/a;LL1 Nord;Hof;Bamberg 44;James Jackson;95548;2;Passau 85;0;165
22/23;0;n/a;LL1 Nord;Hof;Bamberg 44;Marco Jäger;96933;2;Passau 85;1;218
22/23;0;n/a;LL1 Nord;Hof;Bamberg 44;Jan Krüger;92706;2;Passau 85;2;222
22/23;0;n/a;LL1 Nord;Hof;Bamberg 44;Omar Anderson;45562;2;Passau 85;3;210
22/23;0;n/a;LL1 Nord;Hof;Bamberg 44;James Jackson;95548;3;Bayreuth 41;0;144
22/23;0;n/a;LL1 Nord;Hof;Bamberg 44;Marco Jäger;96933;3;Bayreuth 41;1;241
22/23;0;n/a;LL1 Nord;Hof;Bamberg 44;Jan Krüger;92706;3;Bayreuth 41;2;230
22/23;0;n/a;LL1 Nord;Hof;Bamberg 44;Omar Anderson;45562;3;Bayreuth 41;3;237
22/23;0;n/a;LL1 Nord;Hof;Bamberg 44;James Jackson;95548;4;Hof 31;0;184
22/23;0;n/a;LL1 Nord;Hof;Bamberg 44;Marco Jäger;96933;4;Hof 31;1;241
22/23;0;n/a;LL1 Nord;Hof;Bamberg 44;Jan Krüger;92706;4;Hof 31;2;196
22/23;0;n/a;LL1 Nord;Hof;Bamberg 44;Omar Anderson;45562;4;Hof 31;3;238
22/23;0;n/a;LL1 Nord;Hof;Bayreuth 41;Lars Wolf;79124;0;Hof 31;0;185
22/23;0;n/a;LL1 Nord;Hof;Bayreuth 41;Linus Singh;57074;0;Hof 31;1;195
22/23;0;n/a;LL1 Nord;Hof;Bayreuth 41;Arthur Jäger;52682;0;Hof 31;2;158
22/23;0;n/a;LL1 Nord;Hof;Bayreuth 41;Johannes Heil;37109;0;Hof 31;3;179
22/23;0;n/a;LL1 Nord;Hof;Bayreuth 41;Lars Wolf;79124;1;Passau 85;0;160
22/23;0;n/a;LL1 Nord;Hof;Bayreuth 41;Linus Singh;57074;1;Passau 85;1;222
22/23;0;n/a;LL1 Nord;Hof;Bayreuth 41;Arthur Jäger;52682;1;Passau 85;2;129
22/23;0;n/a;LL1 Nord;Hof;Bayreuth 41;Johannes Heil;37109;1;Passau 85;3;186
22/23;0;n/a;LL1 Nord;Hof;Bayreuth 41;Lars Wolf;79124;2;Schweinfurt 45;0;144
22/23;0;n/a;LL1 Nord;Hof;Bayreuth 41;Linus Singh;57074;2;Schweinfurt 45;1;223
22/23;0;n/a;LL1 Nord;Hof;Bayreuth 41;Arthur Jäger;52682;2;Schweinfurt 45;2;149
22/23;0;n/a;LL1 Nord;Hof;Bayreuth 41;Johannes Heil;37109;2;Schweinfurt 45;3;170
22/23;0;n/a;LL1 Nord;Hof;Bayreuth 41;Lars Wolf;79124;3;Bamberg 44;0;168
