Season;Week;Date;League;Players per Team;Location;Round Number;Match Number;Team;Position;Player;Player ID;Opponent;Score;Points;Input Data;Computed Data
25/26;1;2025-10-04;BayL;4;Superbowl Regensburg;1;1;BC Comet Nürnberg;0;Mittelmaier Andreas;16896;SG DJK Rimpar 1;180;1.0;True;False
25/26;1;2025-10-04;BayL;4;Superbowl Regensburg;2;1;BC Comet Nürnberg;0;Mittelmaier Andreas;16896;Werdenfels 1;139;0.0;True;False
25/26;1;2025-10-04;BayL;4;Superbowl Regensburg;3;1;BC Comet Nürnberg;0;Schwarz Jan;7734;Bajuwaren München 1;206;1.0;True;False
25/26;1;2025-10-04;BayL;4;Superbowl Regensburg;4;1;BC Comet Nürnberg;0;Schwarz Jan;7734;BC EMAX Unterföhring 2;242;1.0;True;False
25/26;1;2025-10-04;BayL;4;Superbowl Regensburg;5;1;BC Comet Nürnberg;0;Schick Andreas;7102;Donaubowler Regensburg 1;208;1.0;True;False
25/26;1;2025-10-04;BayL;4;Superbowl Regensburg;6;1;BC Comet Nürnberg;0;Schick Andreas;7102;Bowlinghaus Bamberg 1;176;1.0;True;False
25/26;1;2025-10-04;BayL;4;Superbowl Regensburg;7;1;BC Comet Nürnberg;0;Schick Andreas;7102;SG Rottendorf 1;160;0.0;True;False
25/26;1;2025-10-04;BayL;4;Superbowl Regensburg;8;1;BC Comet Nürnberg;0;Schick Andreas;7102;BK München 3;185;1.0;True;False
25/26;1;2025-10-04;BayL;4;Superbowl Regensburg;9;1;BC Comet Nürnberg;0;Schick Andreas;7102;Schanzer Ingolstadt 1;142;0.0;True;False
25/26;1;2025-10-04;BayL;4;Superbowl Regensburg;1;2;BC Comet Nürnberg;1;Schlick Christian;7724;SG DJK Rimpar 1;225;1.0;True;False
25/26;1;2025-10-04;BayL;4;Superbowl Regensburg;2;2;BC Comet Nürnberg;1;Schlick Christian;7724;Werdenfels 1;201;1.0;True;False
