Season;Week;Date;League;Players per Team;Location;Round Number;Match Number;Team;Position;Player;Player ID;Opponent;Score;Points;Input Data;Computed Data
25/26;1;2025-10-04;BayL;4;Regensburg Super Bowl;1;0;BC Comet Nürnberg;0;Mittelmaier Andreas;16896;SG DJK Rimpar 1;180;1.0;True;False
25/26;1;2025-10-04;BayL;4;Regensburg Super Bowl;1;0;BC Comet Nürnberg;0;Team Total;0;SG DJK Rimpar 1;784;3.0;False;True
25/26;1;2025-10-04;BayL;4;Regensburg Super Bowl;1;0;BC Comet Nürnberg;1;Schlick Christian;7724;SG DJK Rimpar 1;225;1.0;True;False
25/26;1;2025-10-04;BayL;4;Regensburg Super Bowl;1;0;BC Comet Nürnberg;2;Schlundt Michael;7725;SG DJK Rimpar 1;167;0.0;True;False
25/26;1;2025-10-04;BayL;4;Regensburg Super Bowl;1;0;BC Comet Nürnberg;3;Schwarz Jan;7734;SG DJK Rimpar 1;212;1.0;True;False
25/26;1;2025-10-04;BayL;4;Regensburg Super Bowl;1;0;SG DJK Rimpar 1;0;Plaschka Nico;38039;BC Comet Nürnberg;167;0.0;True;False
25/26;1;2025-10-04;BayL;4;Regensburg Super Bowl;1;0;SG DJK Rimpar 1;0;Team Total;0;BC Comet Nürnberg;725;0.0;False;True
25/26;1;2025-10-04;BayL;4;Regensburg Super Bowl;1;0;SG DJK Rimpar 1;1;Gräfe Sebastian;38687;BC Comet Nürnberg;154;0.0;True;False
25/26;1;2025-10-04;BayL;4;Regensburg Super Bowl;1;0;SG DJK Rimpar 1;2;Kreß Michael;10622;BC Comet Nürnberg;223;1.0;True;False
25/26;1;2025-10-04;BayL;4;Regensburg Super Bowl;1;0;SG DJK Rimpar 1;3;Werder Jan-Uwe;16301;BC Comet Nürnberg;181;0.0;True;False
25/26;1;2025-10-04;BayL;4;Regensburg Super Bowl;1;1;BK München 3;0;Börding Peter;7593;Bajuwaren München 1;145;0.0;True;False
25/26;1;2025-10-04;BayL;4;Regensburg Super Bowl;1;1;BK München 3;0;Team Total;0;Bajuwaren München 1;704;3.0;False;True
25/26;1;2025-10-04;BayL;4;Regensburg Super Bowl;1;1;BK München 3;1;Baszler Patrik;7886;Bajuwaren München 1;208;1.0;True;False
25/26;1;2025-10-04;BayL;4;Regensburg Super Bowl;1;1;BK München 3;2;Laub Harald;7597;Bajuwaren München 1;174;0.0;True;False
25/26;1;2025-10-04;BayL;4;Regensburg Super Bowl;1;1;BK München 3;3;Hinterwimmer Sebastian;7885;Bajuwaren München 1;177;1.0;True;False
25/26;1;2025-10-04;BayL;4;Regensburg Super Bowl;1;1;Bajuwaren München 1;0;Glasl Hans-Jürgen;7408;BK München 3;180;1.0;True;False
25/26;1;2025-10-04;BayL;4;Regensburg Super Bowl;1;1;Bajuwaren München 1;0;Team Total;0;BK München 3;651;0.0;False;True
25/26;1;2025-10-04;BayL;4;Regensburg Super Bowl;1;1;Bajuwaren München 1;1;Lüthje Dennis;7600;BK München 3;139;0.0;True;False
25/26;1;2025-10-04;BayL;4;Regensburg Super Bowl;1;1;Bajuwaren München 1;2;Reichert Ralph;7416;BK München 3;177;1.0;True;False
25/26;1;2025-10-04;BayL;4;Regensburg Super Bowl;1;1;Bajuwaren München 1;3;Lüthje Volker;7601;BK München 3;155;0.0;True;False
25/26;1;2025-10-04;BayL;4;Regensburg Super Bowl;1;2;Bowlinghaus Bamberg 1;0;Karl William;16532;SG Rottendorf 1;156;0.0;True;False
25/26;1;2025-10-04;BayL;4;Regensburg Super Bowl;1;2;Bowlinghaus Bamberg 1;0;Team Total;0;SG Rottendorf 1;665;0.0;False;True
25/26;1;2025-10-04;BayL;4;Regensburg Super Bowl;1;2;Bowlinghaus Bamberg 1;1;Nolan Jonathan;16873;SG Rottendorf 1;169;1.0;True;False
25/26;1;2025-10-04;BayL;4;Regensburg Super Bowl;1;2;Bowlinghaus Bamberg 1;2;Nikoleit Thomas;25516;SG Rottendorf 1;172;1.0;True;False
25/26;1;2025-10-04;BayL;4;Regensburg Super Bowl;1;2;Bowlinghaus Bamberg 1;3;Renner Alexander;16251;SG Rottendorf 1;168;0.0;True;False
25/26;1;2025-10-04;BayL;4;Regensburg Super Bowl;1;2;SG Rottendorf 1;0;Büttner Christian;16862;Bowlinghaus Bamberg 1;184;1.0;True;False
25/26;1;2025-10-04;BayL;4;Regensburg Super Bowl;1;2;SG Rottendorf 1;0;Team Total;0;Bowlinghaus Bamberg 1;684;3.0;False;True
25/26;1;2025-10-04;BayL;4;Regensburg Super Bowl;1;2;SG Rottendorf 1;1;Reichardt Stefan;16945;Bowlinghaus Bamberg 1;148;0.0;True;False
25/26;1;2025-10-04;BayL;4;Regensburg Super Bowl;1;2;SG Rottendorf 1;2;Scholz Alexander;16352;Bowlinghaus Bamberg 1;158;0.0;True;False
25/26;1;2025-10-04;BayL;4;Regensburg Super Bowl;1;2;SG Rottendorf 1;3;Stemmler Patrick;16495;Bowlinghaus Bamberg 1;194;1.0;True;False
25/26;1;2025-10-04;BayL;4;Regensburg Super Bowl;1;3;BC EMAX Unterföhring 2;0;Lohse Sebastian;27134;Werdenfels 1;158;0.0;True;False
25/26;1;2025-10-04;BayL;4;Regensburg Super Bowl;1;3;BC EMAX Unterföhring 2;0;Team Total;0;Werdenfels 1;704;3.0;False;True
25/26;1;2025-10-04;BayL;4;Regensburg Super Bowl;1;3;BC EMAX Unterföhring 2;1;Wegenast Robert;25325;Werdenfels 1;156;0.5;True;False
25/26;1;2025-10-04;BayL;4;Regensburg Super Bowl;1;3;BC EMAX Unterföhring 2;2;Denz Günter;16398;Werdenfels 1;219;1.0;True;False
25/26;1;2025-10-04;BayL;4;Regensburg Super Bowl;1;3;BC EMAX Unterföhring 2;3;Pirzer Robert;7428;Werdenfels 1;171;0.0;True;False
25/26;1;2025-10-04;BayL;4;Regensburg Super Bowl;1;3;Werdenfels 1;0;Kammermeier Maximilian;25822;BC EMAX Unterföhring 2;162;1.0;True;False
25/26;1;2025-10-04;BayL;4;Regensburg Super Bowl;1;3;Werdenfels 1;0;Team Total;0;BC EMAX Unterföhring 2;649;0.0;False;True
25/26;1;2025-10-04;BayL;4;Regensburg Super Bowl;1;3;Werdenfels 1;1;Musiol Jan;25166;BC EMAX Unterföhring 2;156;0.5;True;False
25/26;1;2025-10-04;BayL;4;Regensburg Super Bowl;1;3;Werdenfels 1;2;Gärtner Bruno;25649;BC EMAX Unterföhring 2;143;0.0;True;False
25/26;1;2025-10-04;BayL;4;Regensburg Super Bowl;1;3;Werdenfels 1;3;Hellmich Daniel;7314;BC EMAX Unterföhring 2;188;1.0;True;False
25/26;1;2025-10-04;BayL;4;Regensburg Super Bowl;1;4;Donaubowler Regensburg 1;0;Feller Christian;16007;Schanzer Ingolstadt 1;154;0.0;True;False
25/26;1;2025-10-04;BayL;4;Regensburg Super Bowl;1;4;Donaubowler Regensburg 1;0;Team Total;0;Schanzer Ingolstadt 1;726;3.0;False;True
25/26;1;2025-10-04;BayL;4;Regensburg Super Bowl;1;4;Donaubowler Regensburg 1;1;Seltmann Dominik;25604;Schanzer Ingolstadt 1;233;1.0;True;False
25/26;1;2025-10-04;BayL;4;Regensburg Super Bowl;1;4;Donaubowler Regensburg 1;2;Hartfeil Volkmar;7830;Schanzer Ingolstadt 1;170;1.0;True;False
25/26;1;2025-10-04;BayL;4;Regensburg Super Bowl;1;4;Donaubowler Regensburg 1;3;Hürdler Marco;25271;Schanzer Ingolstadt 1;169;1.0;True;False
25/26;1;2025-10-04;BayL;4;Regensburg Super Bowl;1;4;Schanzer Ingolstadt 1;0;Schütze Oliver;38550;Donaubowler Regensburg 1;195;1.0;True;False
25/26;1;2025-10-04;BayL;4;Regensburg Super Bowl;1;4;Schanzer Ingolstadt 1;0;Team Total;0;Donaubowler Regensburg 1;645;0.0;False;True
25/26;1;2025-10-04;BayL;4;Regensburg Super Bowl;1;4;Schanzer Ingolstadt 1;1;Hartl Thomas;38411;Donaubowler Regensburg 1;179;0.0;True;False
25/26;1;2025-10-04;BayL;4;Regensburg Super Bowl;1;4;Schanzer Ingolstadt 1;2;Tesinski Sebastian;38569;Donaubowler Regensburg 1;105;0.0;True;False
25/26;1;2025-10-04;BayL;4;Regensburg Super Bowl;1;4;Schanzer Ingolstadt 1;3;Schmied Markus;38361;Donaubowler Regensburg 1;166;0.0;True;False
25/26;1;2025-10-04;BayL;4;Regensburg Super Bowl;2;0;BC Comet Nürnberg;0;Mittelmaier Andreas;16896;Werdenfels 1;139;0.0;True;False
25/26;1;2025-10-04;BayL;4;Regensburg Super Bowl;2;0;BC Comet Nürnberg;0;Team Total;0;Werdenfels 1;732;3.0;False;True
25/26;1;2025-10-04;BayL;4;Regensburg Super Bowl;2;0;BC Comet Nürnberg;1;Schlick Christian;7724;Werdenfels 1;201;1.0;True;False
25/26;1;2025-10-04;BayL;4;Regensburg Super Bowl;2;0;BC Comet Nürnberg;2;Schlundt Michael;7725;Werdenfels 1;172;1.0;True;False
25/26;1;2025-10-04;BayL;4;Regensburg Super Bowl;2;0;BC Comet Nürnberg;3;Schwarz Jan;7734;Werdenfels 1;220;1.0;True;False
25/26;1;2025-10-04;BayL;4;Regensburg Super Bowl;2;0;Werdenfels 1;0;Kammermeier Maximilian;25822;BC Comet Nürnberg;182;1.0;True;False
25/26;1;2025-10-04;BayL;4;Regensburg Super Bowl;2;0;Werdenfels 1;0;Team Total;0;BC Comet Nürnberg;660;0.0;False;True
25/26;1;2025-10-04;BayL;4;Regensburg Super Bowl;2;0;Werdenfels 1;1;Musiol Jan;25166;BC Comet Nürnberg;153;0.0;True;False
25/26;1;2025-10-04;BayL;4;Regensburg Super Bowl;2;0;Werdenfels 1;2;Gärtner Bruno;25649;BC Comet Nürnberg;165;0.0;True;False
25/26;1;2025-10-04;BayL;4;Regensburg Super Bowl;2;0;Werdenfels 1;3;Hellmich Daniel;7314;BC Comet Nürnberg;160;0.0;True;False
25/26;1;2025-10-04;BayL;4;Regensburg Super Bowl;2;1;BK München 3;0;Baszler Patrik;7886;SG Rottendorf 1;158;0.0;True;False
25/26;1;2025-10-04;BayL;4;Regensburg Super Bowl;2;1;BK München 3;0;Team Total;0;SG Rottendorf 1;711;3.0;False;True
25/26;1;2025-10-04;BayL;4;Regensburg Super Bowl;2;1;BK München 3;1;Hellmessen Maximilian;16912;SG Rottendorf 1;192;0.0;True;False
25/26;1;2025-10-04;BayL;4;Regensburg Super Bowl;2;1;BK München 3;2;Laub Harald;7597;SG Rottendorf 1;171;1.0;True;False
25/26;1;2025-10-04;BayL;4;Regensburg Super Bowl;2;1;BK München 3;3;Hinterwimmer Sebastian;7885;SG Rottendorf 1;190;1.0;True;False
25/26;1;2025-10-04;BayL;4;Regensburg Super Bowl;2;1;SG Rottendorf 1;0;Büttner Christian;16862;BK München 3;179;1.0;True;False
25/26;1;2025-10-04;BayL;4;Regensburg Super Bowl;2;1;SG Rottendorf 1;0;Team Total;0;BK München 3;678;0.0;False;True
25/26;1;2025-10-04;BayL;4;Regensburg Super Bowl;2;1;SG Rottendorf 1;1;Reichardt Stefan;16945;BK München 3;171;0.0;True;False
25/26;1;2025-10-04;BayL;4;Regensburg Super Bowl;2;1;SG Rottendorf 1;2;Scholz Alexander;16352;BK München 3;145;0.0;True;False
