Season;Week;Date;League;Players per Team;Location;Round Number;Match Number;Team;Position;Player;Player ID;Opponent;Score;Points;Input Data;Computed Data
25/26;1;2025-10-05;BZOL N1;4;Dettelbach Extreme Bowlingarena;1;;Kings Club Bayreuth Land 1;0;Budjoso, Max;7228;RW Lichtenhof 69 Stein 2;225;1.0;True;False
25/26;1;2025-10-05;BZOL N1;4;Dettelbach Extreme Bowlingarena;2;;Kings Club Bayreuth Land 1;0;Budjoso, Max;7228;Castra Regina Regensburg 2;193;1.0;True;False
25/26;1;2025-10-05;BZOL N1;4;Dettelbach Extreme Bowlingarena;3;;Kings Club Bayreuth Land 1;0;Budjoso, Max;7228;Eintracht Lauf 1;256;1.0;True;False
25/26;1;2025-10-05;BZOL N1;4;Dettelbach Extreme Bowlingarena;4;;Kings Club Bayreuth Land 1;0;Budjoso, Max;7228;Donaubowler Regensburg 2;184;1.0;True;False
25/26;1;2025-10-05;BZOL N1;4;Dettelbach Extreme Bowlingarena;5;;Kings Club Bayreuth Land 1;0;Budjoso, Max;7228;Mainauenbowler Bayreuth Land 2;211;1.0;True;False
25/26;1;2025-10-05;BZOL N1;4;Dettelbach Extreme Bowlingarena;1;;Kings Club Bayreuth Land 1;1;Hübner, Patrick;25085;RW Lichtenhof 69 Stein 2;189;1.0;True;False
25/26;1;2025-10-05;BZOL N1;4;Dettelbach Extreme Bowlingarena;2;;Kings Club Bayreuth Land 1;1;Hübner, Patrick;25085;Castra Regina Regensburg 2;187;1.0;True;False
25/26;1;2025-10-05;BZOL N1;4;Dettelbach Extreme Bowlingarena;3;;Kings Club Bayreuth Land 1;1;Hübner, Patrick;25085;Eintracht Lauf 1;172;0.;True;False
25/26;1;2025-10-05;BZOL N1;4;Dettelbach Extreme Bowlingarena;4;;Kings Club Bayreuth Land 1;1;Hübner, Patrick;25085;Donaubowler Regensburg 2;165;1.0;True;False
25/26;1;2025-10-05;BZOL N1;4;Dettelbach Extreme Bowlingarena;5;;Kings Club Bayreuth Land 1;1;Hübner, Patrick;25085;Mainauenbowler Bayreuth Land 2;169;1.0;True;False
25/26;1;2025-10-05;BZOL N1;4;Dettelbach Extreme Bowlingarena;1;;Kings Club Bayreuth Land 1;2;Franke, Tobias;38275;RW Lichtenhof 69 Stein 2;189;1.0;True;False
25/26;1;2025-10-05;BZOL N1;4;Dettelbach Extreme Bowlingarena;2;;Kings Club Bayreuth Land 1;2;Franke, Tobias;38275;Castra Regina Regensburg 2;176;1.0;True;False
25/26;1;2025-10-05;BZOL N1;4;Dettelbach Extreme Bowlingarena;3;;Kings Club Bayreuth Land 1;2;Franke, Tobias;38275;Eintracht Lauf 1;168;0.;True;False
25/26;1;2025-10-05;BZOL N1;4;Dettelbach Extreme Bowlingarena;4;;Kings Club Bayreuth Land 1;2;Franke, Tobias;38275;Donaubowler Regensburg 2;159;1.0;True;False
25/26;1;2025-10-05;BZOL N1;4;Dettelbach Extreme Bowlingarena;5;;Kings Club Bayreuth Land 1;2;Franke, Tobias;38275;Mainauenbowler Bayreuth Land 2;223;1.0;True;False
25/26;1;2025-10-05;BZOL N1;4;Dettelbach Extreme Bowlingarena;1;;Kings Club Bayreuth Land 1;3;Schuster, Christian;7723;RW Lichtenhof 69 Stein 2;155;0.;True;False
25/26;1;2025-10-05;BZOL N1;4;Dettelbach Extreme Bowlingarena;2;;Kings Club Bayreuth Land 1;3;Schuster, Christian;7723;Castra Regina Regensburg 2;231;1.0;True;False
25/26;1;2025-10-05;BZOL N1;4;Dettelbach Extreme Bowlingarena;3;;Kings Club Bayreuth Land 1;3;Schuster, Christian;7723;Eintracht Lauf 1;184;1.0;True;False
25/26;1;2025-10-05;BZOL N1;4;Dettelbach Extreme Bowlingarena;4;;Kings Club Bayreuth Land 1;3;Schuster, Christian;7723;Donaubowler Regensburg 2;155;0.;True;False
25/26;1;2025-10-05;BZOL N1;4;Dettelbach Extreme Bowlingarena;5;;Kings Club Bayreuth Land 1;3;Schuster, Christian;7723;Mainauenbowler Bayreuth Land 2;210;1.0;True;False
25/26;1;2025-10-05;BZOL N1;4;Dettelbach Extreme Bowlingarena;1;;Kings Club Bayreuth Land 1;0;Team Total;0;RW Lichtenhof 69 Stein 2;758;3.0;False;True
25/26;1;2025-10-05;BZOL N1;4;Dettelbach Extreme Bowlingarena;2;;Kings Club Bayreuth Land 1;0;Team Total;0;Castra Regina Regensburg 2;787;3.0;False;True
25/26;1;2025-10-05;BZOL N1;4;Dettelbach Extreme Bowlingarena;3;;Kings Club Bayreuth Land 1;0;Team Total;0;Eintracht Lauf 1;780;0.;False;True
25/26;1;2025-10-05;BZOL N1;4;Dettelbach Extreme Bowlingarena;4;;Kings Club Bayreuth Land 1;0;Team Total;0;Donaubowler Regensburg 2;663;0.;False;True
25/26;1;2025-10-05;BZOL N1;4;Dettelbach Extreme Bowlingarena;5;;Kings Club Bayreuth Land 1;0;Team Total;0;Mainauenbowler Bayreuth Land 2;813;3.0;False;True
25/26;1;2025-10-05;BZOL N1;4;Dettelbach Extreme Bowlingarena;1;;RW Lichtenhof 69 Stein 2;0;Körber, Paul;7735;Kings Club Bayreuth Land 1;181;0.;True;False
25/26;1;2025-10-05;BZOL N1;4;Dettelbach Extreme Bowlingarena;2;;RW Lichtenhof 69 Stein 2;0;Körber, Paul;7735;Eintracht Lauf 1;168;0.;True;False
25/26;1;2025-10-05;BZOL N1;4;Dettelbach Extreme Bowlingarena;3;;RW Lichtenhof 69 Stein 2;0;Körber, Paul;7735;Mainauenbowler Bayreuth Land 2;246;1.0;True;False
25/26;1;2025-10-05;BZOL N1;4;Dettelbach Extreme Bowlingarena;4;;RW Lichtenhof 69 Stein 2;0;Körber, Paul;7735;Castra Regina Regensburg 2;156;0.0;True;False
25/26;1;2025-10-05;BZOL N1;4;Dettelbach Extreme Bowlingarena;5;;RW Lichtenhof 69 Stein 2;0;Körber, Paul;7735;Donaubowler Regensburg 2;169;1.0;True;False
25/26;1;2025-10-05;BZOL N1;4;Dettelbach Extreme Bowlingarena;1;;RW Lichtenhof 69 Stein 2;1;Rupertinger, Manfred;16641;Kings Club Bayreuth Land 1;171;0.0;True;False
25/26;1;2025-10-05;BZOL N1;4;Dettelbach Extreme Bowlingarena;2;;RW Lichtenhof 69 Stein 2;1;Rupertinger, Manfred;16641;Eintracht Lauf 1;193;1.0;True;False
25/26;1;2025-10-05;BZOL N1;4;Dettelbach Extreme Bowlingarena;3;;RW Lichtenhof 69 Stein 2;1;Rupertinger, Manfred;16641;Mainauenbowler Bayreuth Land 2;182;1.0;True;False
25/26;1;2025-10-05;BZOL N1;4;Dettelbach Extreme Bowlingarena;4;;RW Lichtenhof 69 Stein 2;1;Rupertinger, Manfred;16641;Castra Regina Regensburg 2;166;1.0;True;False
25/26;1;2025-10-05;BZOL N1;4;Dettelbach Extreme Bowlingarena;5;;RW Lichtenhof 69 Stein 2;1;Rupertinger, Manfred;16641;Donaubowler Regensburg 2;188;1.0;True;False
25/26;1;2025-10-05;BZOL N1;4;Dettelbach Extreme Bowlingarena;1;;RW Lichtenhof 69 Stein 2;2;Echtermeyer, Ralph;7965;Kings Club Bayreuth Land 1;161;0.0;True;False
25/26;1;2025-10-05;BZOL N1;4;Dettelbach Extreme Bowlingarena;2;;RW Lichtenhof 69 Stein 2;2;Echtermeyer, Ralph;7965;Eintracht Lauf 1;132;0.0;True;False
25/26;1;2025-10-05;BZOL N1;4;Dettelbach Extreme Bowlingarena;3;;RW Lichtenhof 69 Stein 2;2;Kotzerke, Marcel;38947;Mainauenbowler Bayreuth Land 2;206;1.0;True;False
25/26;1;2025-10-05;BZOL N1;4;Dettelbach Extreme Bowlingarena;4;;RW Lichtenhof 69 Stein 2;2;Kotzerke, Marcel;38947;Castra Regina Regensburg 2;159;1.0;True;False
25/26;1;2025-10-05;BZOL N1;4;Dettelbach Extreme Bowlingarena;5;;RW Lichtenhof 69 Stein 2;2;Kotzerke, Marcel;38947;Donaubowler Regensburg 2;181;1.0;True;False
25/26;1;2025-10-05;BZOL N1;4;Dettelbach Extreme Bowlingarena;1;;RW Lichtenhof 69 Stein 2;3;Stöhr, Jürgen;7738;Kings Club Bayreuth Land 1;163;1.0;True;False
25/26;1;2025-10-05;BZOL N1;4;Dettelbach Extreme Bowlingarena;2;;RW Lichtenhof 69 Stein 2;3;Stöhr, Jürgen;7738;Eintracht Lauf 1;161;0.0;True;False
25/26;1;2025-10-05;BZOL N1;4;Dettelbach Extreme Bowlingarena;3;;RW Lichtenhof 69 Stein 2;3;Stöhr, Jürgen;7738;Mainauenbowler Bayreuth Land 2;179;1.0;True;False
25/26;1;2025-10-05;BZOL N1;4;Dettelbach Extreme Bowlingarena;4;;RW Lichtenhof 69 Stein 2;3;Stöhr, Jürgen;7738;Castra Regina Regensburg 2;158;0.0;True;False
25/26;1;2025-10-05;BZOL N1;4;Dettelbach Extreme Bowlingarena;5;;RW Lichtenhof 69 Stein 2;3;Stöhr, Jürgen;7738;Donaubowler Regensburg 2;173;0.0;True;False
25/26;1;2025-10-05;BZOL N1;4;Dettelbach Extreme Bowlingarena;1;;RW Lichtenhof 69 Stein 2;0;Team Total;0;Kings Club Bayreuth Land 1;676;0.0;False;True
25/26;1;2025-10-05;BZOL N1;4;Dettelbach Extreme Bowlingarena;2;;RW Lichtenhof 69 Stein 2;0;Team Total;0;Eintracht Lauf 1;654;0.0;False;True
25/26;1;2025-10-05;BZOL N1;4;Dettelbach Extreme Bowlingarena;3;;RW Lichtenhof 69 Stein 2;0;Team Total;0;Mainauenbowler Bayreuth Land 2;813;3.0;False;True
25/26;1;2025-10-05;BZOL N1;4;Dettelbach Extreme Bowlingarena;4;;RW Lichtenhof 69 Stein 2;0;Team Total;0;Castra Regina Regensburg 2;639;0.0;False;True
25/26;1;2025-10-05;BZOL N1;4;Dettelbach Extreme Bowlingarena;5;;RW Lichtenhof 69 Stein 2;0;Team Total;0;Donaubowler Regensburg 2;711;3.0;False;True
25/26;1;2025-10-05;BZOL N1;4;Dettelbach Extreme Bowlingarena;1;;Eintracht Lauf 1;0;Lucic, Mirko;38711;Donaubowler Regensburg 2;170;1.0;True;False
25/26;1;2025-10-05;BZOL N1;4;Dettelbach Extreme Bowlingarena;2;;Eintracht Lauf 1;0;Lucic, Mirko;38711;RW Lichtenhof 69 Stein 2;205;1.0;True;False
25/26;1;2025-10-05;BZOL N1;4;Dettelbach Extreme Bowlingarena;3;;Eintracht Lauf 1;0;Lucic, Mirko;38711;Kings Club Bayreuth Land 1;226;0.0;True;False
25/26;1;2025-10-05;BZOL N1;4;Dettelbach Extreme Bowlingarena;4;;Eintracht Lauf 1;0;Lucic, Mirko;38711;Mainauenbowler Bayreuth Land 2;170;0.0;True;False
25/26;1;2025-10-05;BZOL N1;4;Dettelbach Extreme Bowlingarena;5;;Eintracht Lauf 1;0;Lucic, Mirko;38711;Castra Regina Regensburg 2;188;1.0;True;False
25/26;1;2025-10-05;BZOL N1;4;Dettelbach Extreme Bowlingarena;1;;Eintracht Lauf 1;1;Fourkiotis, Asterios;25555;Donaubowler Regensburg 2;200;0.5;True;False
25/26;1;2025-10-05;BZOL N1;4;Dettelbach Extreme Bowlingarena;2;;Eintracht Lauf 1;1;Fourkiotis, Asterios;25555;RW Lichtenhof 69 Stein 2;146;0.0;True;False
25/26;1;2025-10-05;BZOL N1;4;Dettelbach Extreme Bowlingarena;3;;Eintracht Lauf 1;1;Chambless, Juergen;16465;Kings Club Bayreuth Land 1;208;1.0;True;False
25/26;1;2025-10-05;BZOL N1;4;Dettelbach Extreme Bowlingarena;4;;Eintracht Lauf 1;1;Chambless, Juergen;16465;Mainauenbowler Bayreuth Land 2;180;1.0;True;False
25/26;1;2025-10-05;BZOL N1;4;Dettelbach Extreme Bowlingarena;5;;Eintracht Lauf 1;1;Chambless, Juergen;16465;Castra Regina Regensburg 2;145;1.0;True;False
25/26;1;2025-10-05;BZOL N1;4;Dettelbach Extreme Bowlingarena;1;;Eintracht Lauf 1;2;Tontsch, Heiko;38403;Donaubowler Regensburg ;179;1.0;True;False
25/26;1;2025-10-05;BZOL N1;4;Dettelbach Extreme Bowlingarena;2;;Eintracht Lauf 1;2;Tontsch, Heiko;38403;RW Lichtenhof 69 Stein 2;248;1.0;True;False
