Season;Week;Date;League;Players per Team;Location;Round Number;Match Number;Team;Position;Player;Player ID;Opponent;Score;Points;Input Data;Computed Data
25/26;1;2026-02-12;KL S1;4;;1;0;Absolut Sports 2;0;Stockmann Uwe;38149;Pfaffenhofen 2;122;0.0;True;False
25/26;1;2026-02-12;KL S1;4;;1;0;Absolut Sports 2;0;Team Total;0;Pfaffenhofen 2;645;0.0;False;True
25/26;1;2026-02-12;KL S1;4;;1;0;Absolut Sports 2;1;Demuth Werner;38985;Pfaffenhofen 2;161;0.0;True;False
25/26;1;2026-02-12;KL S1;4;;1;0;Absolut Sports 2;2;Mattes Marc;38902;Pfaffenhofen 2;151;0.0;True;False
25/26;1;2026-02-12;KL S1;4;;1;0;Absolut Sports 2;3;Jehle Dennis;38954;Pfaffenhofen 2;211;1.0;True;False
25/26;1;2026-02-24;KL N2;4;;1;0;BC Bamberger  Bowlinghaus 3;0;Striefler Edmund;25063;BC Coburg 1;185;0.0;True;False
25/26;1;2026-02-24;KL N2;4;;1;0;BC Bamberger  Bowlinghaus 3;0;Team Total;0;BC Coburg 1;689;3.0;False;True
25/26;1;2026-02-24;KL N2;4;;1;0;BC Bamberger  Bowlinghaus 3;1;Schäfer Bernd;38688;BC Coburg 1;155;1.0;True;False
25/26;1;2026-02-24;KL N2;4;;1;0;BC Bamberger  Bowlinghaus 3;2;Stegner Ottmar;16535;BC Coburg 1;180;1.0;True;False
25/26;1;2026-02-24;KL N2;4;;1;0;BC Bamberger  Bowlinghaus 3;3;Karl Georg;16545;BC Coburg 1;169;0.0;True;False
25/26;1;2026-02-24;KL N2;4;;1;0;BC Coburg 1;0;Lachmann Thomas;38425;BC Bamberger  Bowlinghaus 3;186;1.0;True;False
25/26;1;2026-02-24;KL N2;4;;1;0;BC Coburg 1;0;Team Total;0;BC Bamberger  Bowlinghaus 3;654;0.0;False;True
25/26;1;2026-02-24;KL N2;4;;1;0;BC Coburg 1;1;Thomas Alisa;38936;BC Bamberger  Bowlinghaus 3;129;0.0;True;False
25/26;1;2026-02-24;KL N2;4;;1;0;BC Coburg 1;2;Noack Peter;38369;BC Bamberger  Bowlinghaus 3;158;0.0;True;False
25/26;1;2026-02-24;KL N2;4;;1;0;BC Coburg 1;3;Thomas Nico;38134;BC Bamberger  Bowlinghaus 3;181;1.0;True;False
25/26;1;2026-03-30;LL S (D);4;;1;0;BC EPA München 2;0;_Auswechslung im Spiel;69;Pfaffenhofen 1;160;0.0;True;False
25/26;1;2026-03-30;LL S (D);4;;1;0;BC EPA München 2;0;Team Total;0;Pfaffenhofen 1;573;0.0;False;True
25/26;1;2026-03-30;LL S (D);4;;1;0;BC EPA München 2;1;Strahl Pakwipa;7991;Pfaffenhofen 1;115;0.0;True;False
25/26;1;2026-03-30;LL S (D);4;;1;0;BC EPA München 2;2;Wiedl Edeltraud;16029;Pfaffenhofen 1;134;0.0;True;False
25/26;1;2026-03-30;LL S (D);4;;1;0;BC EPA München 2;3;Schaschl Margit;7978;Pfaffenhofen 1;164;0.0;True;False
25/26;1;2026-02-15;BayL;4;;1;0;BK München 3;0;Peter Börding;7593;Bajuwaren München 1;145;0.0;True;False
25/26;1;2026-02-15;BayL;4;;1;0;BK München 3;0;Team Total;0;Bajuwaren München 1;704;3.0;False;True
25/26;1;2026-02-15;BayL;4;;1;0;BK München 3;1;Patrick Baszler;7886;Bajuwaren München 1;208;1.0;True;False
25/26;1;2026-02-15;BayL;4;;1;0;BK München 3;2;Harald Laub;7597;Bajuwaren München 1;174;0.0;True;False
25/26;1;2026-02-15;BayL;4;;1;0;BK München 3;3;Sebastian Hinterwimmer;7885;Bajuwaren München 1;177;1.0;True;False
25/26;1;2026-03-28;LL S;4;;1;0;BSC HighRoller Rosenheim 1;0;Kasenbacher Lucas;25340;Bavaria Unterföhring 1;175;1.0;True;False
25/26;1;2026-03-28;LL S;4;;1;0;BSC HighRoller Rosenheim 1;0;Team Total;0;Bavaria Unterföhring 1;720;3.0;False;True
25/26;1;2026-03-28;LL S;4;;1;0;BSC HighRoller Rosenheim 1;1;van Lengen Peter;25297;Bavaria Unterföhring 1;136;0.0;True;False
25/26;1;2026-03-28;LL S;4;;1;0;BSC HighRoller Rosenheim 1;2;Tos Sascha;16519;Bavaria Unterföhring 1;237;1.0;True;False
25/26;1;2026-03-28;LL S;4;;1;0;BSC HighRoller Rosenheim 1;3;Auer Thomas;16888;Bavaria Unterföhring 1;172;0.0;True;False
25/26;1;2026-02-15;BayL;4;;1;0;Bajuwaren München 1;0;Hans-Jürgen Glasl;7408;BK München 3;180;1.0;True;False
25/26;1;2026-02-15;BayL;4;;1;0;Bajuwaren München 1;0;Team Total;0;BK München 3;651;0.0;False;True
25/26;1;2026-02-15;BayL;4;;1;0;Bajuwaren München 1;1;Dennis Lüthje;7600;BK München 3;139;0.0;True;False
25/26;1;2026-02-15;BayL;4;;1;0;Bajuwaren München 1;2;Ralph Reichert;7416;BK München 3;177;1.0;True;False
25/26;1;2026-02-15;BayL;4;;1;0;Bajuwaren München 1;3;Volker Lüthje;7601;BK München 3;155;0.0;True;False
25/26;1;2026-03-28;LL S;4;;1;0;Bavaria Unterföhring 1;0;Maier Max;16763;BSC HighRoller Rosenheim 1;160;0.0;True;False
25/26;1;2026-03-28;LL S;4;;1;0;Bavaria Unterföhring 1;0;Team Total;0;BSC HighRoller Rosenheim 1;662;0.0;False;True
25/26;1;2026-03-28;LL S;4;;1;0;Bavaria Unterföhring 1;1;Hartmann Benedikt;38112;BSC HighRoller Rosenheim 1;170;1.0;True;False
25/26;1;2026-03-28;LL S;4;;1;0;Bavaria Unterföhring 1;2;Städt Steffen;21197;BSC HighRoller Rosenheim 1;154;0.0;True;False
