Season;Week;Date;League;Location;Team;Player;Player ID;Match Number;Opponent;Position;Score;Points
23/24;5;n/a;LL1 Nord;Ingolstadt;Bamberg 91;Julian Silva;20677;4;Fürth 66;0;162;
23/24;5;n/a;LL1 Nord;Ingolstadt;Bamberg 91;Julian Silva;20677;4;Ingolstadt 19;0;165;
23/24;5;n/a;LL1 Nord;Ingolstadt;Bamberg 91;Vincent Haddad;24619;4;Fürth 66;1;141;
23/24;5;n/a;LL1 Nord;Ingolstadt;Bamberg 91;Vincent Haddad;24619;4;Ingolstadt 19;1;181;
23/24;5;n/a;LL1 Nord;Ingolstadt;Bamberg 91;Christian Neumann;34358;4;Fürth 66;2;134;
23/24;5;n/a;LL1 Nord;Ingolstadt;Bamberg 91;Christian Neumann;34358;4;Ingolstadt 19;2;168;
23/24;5;n/a;LL1 Nord;Ingolstadt;Bamberg 91;Christoph Maier;34330;4;Fürth 66;3;164;
23/24;5;n/a;LL1 Nord;Ingolstadt;Bamberg 91;Christoph Maier;34330;4;Ingolstadt 19;3;197;
23/24;5;n/a;LL1 Nord;Ingolstadt;Fürth 66;Adrian Meier;56225;4;Bamberg 91;0;153;
23/24;5;n/a;LL1 Nord;Ingolstadt;Fürth 66;Ivan Martinez;64767;4;Bamberg 91;1;169;
23/24;5;n/a;LL1 Nord;Ingolstadt;Fürth 66;Youssef Scholz;80765;4;Bamberg 91;2;169;
23/24;5;n/a;LL1 Nord;Ingolstadt;Fürth 66;Georg Maier;37458;4;Bamberg 91;3;203;
23/24;5;n/a;LL1 Nord;Ingolstadt;Hof 14;Leo Jackson;13630;4;Würzburg 25;0;229;
23/24;5;n/a;LL1 Nord;Ingolstadt;Hof 14;Henry Bergmann;68993;4;Würzburg 25;1;197;
23/24;5;n/a;LL1 Nord;Ingolstadt;Hof 14;Juan Wagner;40895;4;Würzburg 25;2;144;
23/24;5;n/a;LL1 Nord;Ingolstadt;Hof 14;Finn Haddad;52167;4;Würzburg 25;3;169;
23/24;5;n/a;LL1 Nord;Ingolstadt;Ingolstadt 19;Emil Schmitt;80142;4;Bamberg 91;0;190;
23/24;5;n/a;LL1 Nord;Ingolstadt;Ingolstadt 19;Felix Rossi;33076;4;Bamberg 91;1;174;
23/24;5;n/a;LL1 Nord;Ingolstadt;Ingolstadt 19;Finn Meyer;42387;4;Bamberg 91;2;186;
23/24;5;n/a;LL1 Nord;Ingolstadt;Ingolstadt 19;Leo Wilson;95568;4;Bamberg 91;3;227;
23/24;5;n/a;LL1 Nord;Ingolstadt;Würzburg 25;Max Jones;94151;4;Hof 14;0;169;
23/24;5;n/a;LL1 Nord;Ingolstadt;Würzburg 25;Diego Williams;43067;4;Hof 14;1;249;
23/24;5;n/a;LL1 Nord;Ingolstadt;Würzburg 25;Ahmed Thomas;40855;4;Hof 14;2;176;
23/24;5;n/a;LL1 Nord;Ingolstadt;Würzburg 25;Peter Krüger;74999;4;Hof 14;3;228;
